Date,Open,High,Low,Close,Volume
2024-03-27,479.51,480.87,477.45,480.76,4951429
2024-03-26,479.06,479.37,476.43,476.6,8073502
2024-03-25,477.73,478.79,477.55,477.94,6081277
2024-03-22,479.87,480.32,478.82,479.18,5881503
2024-03-21,482.62,483.235,481.21,481.35,5044680
2024-03-20,475.54,480.02,474.93,479.75,6179356
2024-03-19,472.2,475.74,471.29,475.6,4550248
2024-03-18,473.95,475.279,472.5,472.95,3939105
2024-03-15,470.41,471.7814,468.7201,470.01,6807087
2024-03-14,475.16,475.325,470.45,473.27,5137814
2024-03-13,475.31,475.47,472.9,474.31,3530683
2024-03-12,471.92,475.55,469.57,475.03,4785237
2024-03-11,469.2,470.46,467.39,470.0,5304156
2024-03-08,473.77,476.2994,469.82,470.39,6285625
2024-03-07,471.63,474.19,470.78,473.26,7149802
2024-03-06,469.25,470.66,467.3199,468.62,5325050
2024-03-05,468.95,469.38,464.06,466.15,4616503
2024-03-04,470.61,472.6,470.6,470.87,3970242
2024-03-01,467.83,471.77,467.43,471.43,4839421
2024-02-29,466.97,468.49,464.47,466.93,7332921
2024-02-28,464.49,465.83,464.11,465.21,2800602
2024-02-27,465.71,466.12,463.91,465.93,3586943
2024-02-26,467.19,467.59,464.94,465.07,3450804
2024-02-23,468.09,468.87,466.0907,466.78,4050621
2024-02-22,463.22,467.33,462.315,466.57,4328536
2024-02-21,455.32,457.12,453.6,456.97,4223078
2024-02-20,457.44,458.06,454.43,456.51,5306784
2024-02-16,461.08,462.15,458.4,459.03,5527893
2024-02-15,458.9,461.54,458.43,461.39,5695711
2024-02-14,456.575,458.67,454.4,458.29,5624009
2024-02-13,454.48,455.7,450.995,453.97,8152242
2024-02-12,460.61,462.74,459.75,460.46,4564233
2024-02-09,458.54,461.03,458.17,460.67,4002594
2024-02-08,457.81,458.33,457.03,458.07,4184592
2024-02-07,456.15,458.18,455.27,457.76,6763415
2024-02-06,453.58,454.29,452.21,454.03,4383601
2024-02-05,453.73,454.15,450.54,452.62,7101857
2024-02-02,450.01,455.88,449.69,454.28,6253482
2024-02-01,445.35,449.66,444.6502,449.66,6138360
2024-01-31,449.04,449.465,443.75,443.82,7108043
2024-01-30,450.84,451.81,450.44,451.17,3409953
2024-01-29,448.23,451.6098,447.7112,451.49,4543252
2024-01-26,448.1,449.51,447.16,448.23,6404023
2024-01-25,448.14,448.76,446.11,448.5,4167055
2024-01-24,448.32,449.1896,445.75,445.99,4226967
2024-01-23,444.83,445.82,443.78,445.62,3251586
2024-01-22,444.77,445.92,443.68,444.3,5870412
2024-01-19,439.0,443.61,438.31,443.29,4836802
2024-01-18,435.58,438.39,434.16,437.93,4331285
