model_type,sequence_length,hidden_dims,num_layers,num_epochs,lr,score
LSTM,10,20,2,80,0.005,0.0006493671599089839
LSTM,10,20,2,80,0.01,0.0005295271257337926
LSTM,10,20,2,80,0.015,0.0005687105679883181
LSTM,10,20,2,80,0.02,0.0005830982639640248
LSTM,10,20,2,100,0.005,0.0005054226072199657
LSTM,10,20,2,100,0.01,0.000495677098009234
LSTM,10,20,2,100,0.015,0.000517273562423605
LSTM,10,20,2,100,0.02,0.000484116295123593
LSTM,10,20,2,120,0.005,0.000505282601835907
LSTM,10,20,2,120,0.01,0.0004881266259838986
LSTM,10,20,2,120,0.015,0.0004844020507583058
LSTM,10,20,2,120,0.02,0.0005217083768408124
LSTM,10,20,2,140,0.005,0.0004847926393978025
LSTM,10,20,2,140,0.01,0.00046937461134305853
LSTM,10,20,2,140,0.015,0.0004683770725514614
LSTM,10,20,2,140,0.02,0.00046323054621491604
LSTM,10,20,2,160,0.005,0.0005124522146070874
LSTM,10,20,2,160,0.01,0.00047250128240840244
LSTM,10,20,2,160,0.015,0.0004830481301647248
LSTM,10,20,2,160,0.02,0.00047551380667591275
LSTM,10,20,2,180,0.005,0.0004753758962691567
LSTM,10,20,2,180,0.01,0.00046825674216151834
LSTM,10,20,2,180,0.015,0.0004731034246824121
LSTM,10,20,2,180,0.02,0.00047394153527024633
LSTM,10,24,2,80,0.005,0.0007109937599823914
LSTM,10,24,2,80,0.01,0.0005347218466811588
LSTM,10,24,2,80,0.015,0.0005401925340983055
LSTM,10,24,2,80,0.02,0.0005151078243848453
LSTM,10,24,2,100,0.005,0.0005232165714579114
LSTM,10,24,2,100,0.01,0.00048725334039267053
LSTM,10,24,2,100,0.015,0.0005353160044564068
LSTM,10,24,2,100,0.02,0.0004935719121664732
LSTM,10,24,2,120,0.005,0.0005019075273124755
LSTM,10,24,2,120,0.01,0.0005038315898558395
LSTM,10,24,2,120,0.015,0.00046779214692301994
LSTM,10,24,2,120,0.02,0.00048379259515430705
LSTM,10,24,2,140,0.005,0.0004716211564491273
LSTM,10,24,2,140,0.01,0.0004754687926466114
LSTM,10,24,2,140,0.015,0.00047919843801088756
LSTM,10,24,2,140,0.02,0.0004976703726589214
LSTM,10,24,2,160,0.005,0.0004687925317465566
LSTM,10,24,2,160,0.01,0.00046849995434053817
LSTM,10,24,2,160,0.015,0.0004785819421190547
LSTM,10,24,2,160,0.02,0.00048821700246427183
LSTM,10,24,2,180,0.005,0.00048170167233831205
LSTM,10,24,2,180,0.01,0.0004627299534204994
LSTM,10,24,2,180,0.015,0.0004626919054721227
LSTM,10,24,2,180,0.02,0.0004724381515025811
LSTM,10,28,2,80,0.005,0.000636732477247482
LSTM,10,28,2,80,0.01,0.0005433426269770425
LSTM,10,28,2,80,0.015,0.0005370398592940914
LSTM,10,28,2,80,0.02,0.0005045445883674707
